"winrate","rew_won","rew_lost","rew_already","rew_number","rew_zero","winrate_discrete"
0.07512,78,-98,-82,9,-5,"[0.0751,0.198]"
0.07902,112,-69,-122,9,-6,"[0.0751,0.198]"
0.08604,111,-21,-123,-15,13,"[0.0751,0.198]"
0.08618,92,-89,-165,15,-4,"[0.0751,0.198]"
0.1039,88,-22,-167,2,14,"[0.0751,0.198]"
0.1049,112,-72,-169,6,7,"[0.0751,0.198]"
0.1245,75,-43,-110,15,9,"[0.0751,0.198]"
0.1379,110,-29,-159,-15,-12,"[0.0751,0.198]"
0.138,67,-22,-112,-15,-15,"[0.0751,0.198]"
0.1412,105,-20,-143,-12,-10,"[0.0751,0.198]"
0.1414,62,-21,-155,-9,-9,"[0.0751,0.198]"
0.1416,60,-31,-167,3,-4,"[0.0751,0.198]"
0.1455,70,-22,-122,-12,-6,"[0.0751,0.198]"
0.1468,101,-39,-183,-8,-11,"[0.0751,0.198]"
0.1575,72,-44,-198,12,-15,"[0.0751,0.198]"
0.1596,98,-46,-179,11,-9,"[0.0751,0.198]"
0.161,118,-22,-196,-3,-11,"[0.0751,0.198]"
0.1611,66,-22,-164,-5,4,"[0.0751,0.198]"
0.1613,111,-39,-186,6,-14,"[0.0751,0.198]"
0.1632,119,-44,-182,10,-7,"[0.0751,0.198]"
0.1656,66,-26,-147,-15,-6,"[0.0751,0.198]"
0.1681,60,-48,-175,2,-10,"[0.0751,0.198]"
0.1698,103,-33,-167,-4,0,"[0.0751,0.198]"
0.1736,72,-28,-171,3,1,"[0.0751,0.198]"
0.1763,82,-33,-148,15,5,"[0.0751,0.198]"
0.1764,103,-23,-122,-9,11,"[0.0751,0.198]"
0.1766,84,-28,-171,-11,-15,"[0.0751,0.198]"
0.1777,102,-35,-147,-7,-2,"[0.0751,0.198]"
0.1791,79,-24,-165,-1,10,"[0.0751,0.198]"
0.1803,66,-26,-144,-7,-6,"[0.0751,0.198]"
0.1817,88,-72,-189,15,-12,"[0.0751,0.198]"
0.1819,109,-26,-169,7,-7,"[0.0751,0.198]"
0.182,62,-33,-178,-13,5,"[0.0751,0.198]"
0.1828,111,-25,-138,4,-7,"[0.0751,0.198]"
0.1842,72,-52,-193,-6,6,"[0.0751,0.198]"
0.186,76,-34,-108,-7,-12,"[0.0751,0.198]"
0.1868,66,-36,-180,0,-2,"[0.0751,0.198]"
0.1875,102,-32,-124,13,11,"[0.0751,0.198]"
0.1894,56,-22,-147,-9,4,"[0.0751,0.198]"
0.1904,56,-63,-194,2,11,"[0.0751,0.198]"
0.1908,53,-24,-127,14,1,"[0.0751,0.198]"
0.1923,98,-49,-188,6,10,"[0.0751,0.198]"
0.1927,92,-62,-174,14,15,"[0.0751,0.198]"
0.1937,82,-25,-131,-5,12,"[0.0751,0.198]"
0.1938,113,-33,-82,7,-9,"[0.0751,0.198]"
0.1939,117,-69,-194,13,11,"[0.0751,0.198]"
0.1943,59,-50,-142,12,-5,"[0.0751,0.198]"
0.1944,57,-30,-80,6,-5,"[0.0751,0.198]"
0.195,50,-72,-155,1,-5,"[0.0751,0.198]"
0.197,69,-66,-200,1,7,"[0.0751,0.198]"
0.1983,79,-59,-183,5,-11,"(0.198,0.223]"
0.1985,114,-20,-118,8,-4,"(0.198,0.223]"
0.1992,99,-56,-197,-11,4,"(0.198,0.223]"
